[MAIN        ] Simulation started.
[34132406 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34132406 ms]
[34132409 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34132409 ms]
[34132506 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34132506 ms]
[34132605 ms][SHIP        ] Loaded 4 P1. Travelling to F3... [34132605 ms]
[34132605 ms][SHIP        ] Waiting to unload at F3. F3 P1: 3/10 [34132605 ms]
[34132608 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34132608 ms]
[34132660 ms][F3-DPT2     ] Produced P3 unit 19 (consumed 2 P1 and 1 P2) [34132660 ms]
[34132660 ms][F3-DPT1     ] Produced P3 unit 20 (consumed 2 P1 and 1 P2) [34132660 ms]
[34132709 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34132709 ms]
[34132809 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34132809 ms]
[34132810 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34132810 ms]
[34132810 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34132810 ms]
[34132855 ms][SHIP        ] Unloaded 4 P1 to F3. Returning to F1... [34132855 ms]
[34132910 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34132910 ms]
[34133010 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34133010 ms]
[34133060 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34133060 ms]
[34133106 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34133106 ms]
[34133106 ms][SHIP        ] Waiting to unload at F3. F3 P1: 3/10 [34133106 ms]
[34133111 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34133111 ms]
[34133210 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34133210 ms]
[34133211 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34133211 ms]
[34133312 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34133312 ms]
[34133356 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34133356 ms]
[34133413 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34133413 ms]
[34133461 ms][F3-DPT1     ] Produced P3 unit 21 (consumed 2 P1 and 1 P2) [34133461 ms]
[34133463 ms][F3-DPT2     ] Produced P3 unit 22 (consumed 2 P1 and 1 P2) [34133463 ms]
[34133514 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34133514 ms]
[34133607 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34133607 ms]
[34133607 ms][SHIP        ] Waiting to unload at F3. F3 P1: 4/10 [34133607 ms]
[34133610 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34133610 ms]
[34133611 ms][TRUCK2      ] Loaded 2 P2. Travelling to F3... [34133611 ms]
[34133614 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34133614 ms]
[34133715 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34133715 ms]
[34133816 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34133816 ms]
[34133859 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34133859 ms]
[34133861 ms][TRUCK2      ] Unloaded 2 P2 to F3. Returning to F2... [34133861 ms]
[34133916 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34133916 ms]
[SCENARIO    ] Pausing F2 production...
[34134011 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34134011 ms]
[34134017 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34134017 ms]
[34134109 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34134109 ms]
[34134109 ms][SHIP        ] Waiting to unload at F3. F3 P1: 9/10 [34134109 ms]
[34134119 ms][F1-DEPT     ] Produced P1. Storage: 1/10 [34134119 ms]
[34134220 ms][F1-DEPT     ] Produced P1. Storage: 2/10 [34134220 ms]
[34134262 ms][F3-DPT1     ] Produced P3 unit 23 (consumed 2 P1 and 1 P2) [34134262 ms]
[34134263 ms][F3-DPT2     ] Produced P3 unit 24 (consumed 2 P1 and 1 P2) [34134263 ms]
[34134321 ms][F1-DEPT     ] Produced P1. Storage: 3/10 [34134321 ms]
[34134422 ms][F1-DEPT     ] Produced P1. Storage: 4/10 [34134422 ms]
[34134523 ms][F1-DEPT     ] Produced P1. Storage: 5/10 [34134523 ms]
